Approved symbol	Approved name	Previous symbols	Alias symbols
EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1		eps15R
EPS15P1	epidermal growth factor receptor pathway substrate 15 pseudogene 1	EPS15L2	PRO1866
EPSTI1	epithelial stromal interaction 1		BRESI1, MGC29634
EPX	eosinophil peroxidase		EPO, EPP, EPX-PEN
EPYC	epiphycan	DSPG3	Pg-Lb, SLRR3B
EQTN	equatorin	C9orf11	AFAF, SPACA8, equatorin
ERAL1	Era like 12S mitochondrial rRNA chaperone 1		HERA-B
ERAP1	endoplasmic reticulum aminopeptidase 1		ARTS-1, A-LAP, PILS-AP, KIAA0525, ERAAP1
ERAP2	endoplasmic reticulum aminopeptidase 2		L-RAP, LRAP
ERAS	ES cell expressed Ras	HRAS2, HRASP	
ERBB2	erb-b2 receptor tyrosine kinase 2	NGL	NEU, HER-2, CD340, HER2, c-ERB2, c-ERB-2, MLN-19, p185(erbB2)
ERBB3	erb-b2 receptor tyrosine kinase 3	LCCS2	HER3
ERBB4	erb-b2 receptor tyrosine kinase 4		ALS19, HER4
ERBIN	erbb2 interacting protein	ERBB2IP	LAP2
ERBIN-DT	ERBIN divergent transcript		
ERC1	ELKS/RAB6-interacting/CAST family member 1	RAB6IP2	ELKS, KIAA1081, CAST2, MGC12974
ERC1-AS1	ERC1 antisense RNA 1		
ERC2	ELKS/RAB6-interacting/CAST family member 2		CAST, CAST1, KIAA0378, SPBC110, Spc110, ELKSL
ERC2-AS1	ERC2 antisense RNA 1		
ERC2-IT1	ERC2 intronic transcript 1	C1orf1, C3orf51	Po42
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit		RAD10
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	XPD	MAG, EM9, MGC102762, MGC126218, MGC126219
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit		XPB, BTF2, RAD25, Ssl2
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	XPF	RAD1, FANCQ
ERCC5	ERCC excision repair 5, endonuclease	ERCM2, XPGC	
ERCC6	ERCC excision repair 6, chromatin remodeling factor	CKN2	CSB, RAD26, ARMD5
ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase		FLJ20105, PICH, RAD26L
ERCC6L2	ERCC excision repair 6 like 2	C9orf102	FLJ37706, RAD26L, HEBO
ERCC6L2-AS1	ERCC6L2 antisense RNA 1	C9orf130, LINC00476	
ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	CKN1	CSA
ERCC8-AS1	ERCC8 antisense RNA 1		
ERDA1	expanded repeat domain, CAG/CTG 1		
EREG	epiregulin		ER
EREG-AS1	EREG, EPGN and MTHFD2L antisense RNA 1		
ERF	ETS2 repressor factor		PE-2, PE2
ERFE	erythroferrone	FAM132B	FLJ37034, CTRP15, C1QTNF15
ERFL	ETS repressor factor like		erfl1
ERG	ETS transcription factor ERG		erg-3, p55
ERG28	ergosterol biosynthesis 28 homolog	C14orf1	NET51
ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1		ERGIC32, ERGIC-32, KIAA1181, NET24
ERGIC2	ERGIC and golgi 2		PTX1, Erv41
ERGIC3	ERGIC and golgi 3	SDBCAG84, C20orf47	CGI-54, PRO0989, NY-BR-84, Erv46
ERH	ERH mRNA splicing and mitosis factor		DROER
ERHP1	ERH pseudogene 1		
ERHP2	ERH pseudogene 2		
ERI1	exoribonuclease 1	THEX1	3'HEXO
ERI2	ERI1 exoribonuclease family member 2	EXOD1	KIAA1504, MGC16943, ZGRF5
ERI3	ERI1 exoribonuclease family member 3	PRNPIP	FLJ22943, PINT1
ERI3-IT1	ERI3 intronic transcript 1		
ERICD	E2F1-regulated inhibitor of cell death	LINC01130	TCONS_00014875, ERIC
ERICH1	glutamate rich 1		
ERICH2	glutamate rich 2		
ERICH2-DT	ERICH2 divergent transcript		
ERICH3	glutamate rich 3	C1orf173	DKFZp547I048, RP11-653A5.1
ERICH3-AS1	ERICH3 antisense RNA 1		
ERICH4	glutamate rich 4	C19orf69	LOC100170765
ERICH5	glutamate rich 5	C8orf47	FLJ39553
ERICH6	glutamate rich 6	C3orf44, FAM194A	MGC39662, ERICH6A
ERICH6-AS1	ERICH6 antisense RNA 1		
ERICH6B	glutamate rich 6B	FAM194B	FLJ32682
ERLEC1	endoplasmic reticulum lectin 1	C2orf30	CL25084, XTP3TPB, XTP3-B, ERLECTIN
ERLEC1P1	endoplasmic reticulum lectin 1 pseudogene 1		
ERLIN1	ER lipid raft associated 1	C10orf69, SPFH1	KE04, Erlin-1, SPG62
ERLIN2	ER lipid raft associated 2	C8orf2, SPFH2, SPG18	NET32, Erlin-2
ERLN	endoregulin	SMIM6, C17orf110	ELN
ERLNC1	estrogen receptor responsive lncRNA 1		TC0101441, ElncRNA1
ERMAP	erythroblast membrane associated protein (Scianna blood group)	RD, SC	BTN5
ERMARD	ER membrane associated RNA degradation	C6orf70	FLJ11152, dJ266L20.3
ERMN	ermin	KIAA1189	JN, ERMIN
ERMP1	endoplasmic reticulum metallopeptidase 1	KIAA1815	FLJ23309, FXNA
ERN1	endoplasmic reticulum to nucleus signaling 1		IRE1, IRE1P
ERN2	endoplasmic reticulum to nucleus signaling 2		IRE1b
ERO1A	endoplasmic reticulum oxidoreductase 1 alpha	ERO1L	ERO1-alpha, Ero1alpha
ERO1B	endoplasmic reticulum oxidoreductase 1 beta	ERO1LB	ERO1-L(beta), Ero1beta
ERP27	endoplasmic reticulum protein 27	C12orf46	FLJ32115, PDIA8
ERP29	endoplasmic reticulum protein 29	C12orf8	ERp28, ERp31, PDI-DB, PDIA9
ERP29P1	endoplasmic reticulum lumenal protein 29 pseudogene 1		ERP28P
ERP44	endoplasmic reticulum protein 44	TXNDC4	KIAA0573, PDIA10
ERRFI1	ERBB receptor feedback inhibitor 1		MIG-6, GENE-33, RALT
ERRFI1-DT	ERRFI1 divergent transcript		
ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV3	H-PLK, HERV-R, ERV-R, envR
ERV3-2	endogenous retrovirus group 3 member 2		KIAA1466
ERV9-1	endogenous retrovirus group 9 member 1		pTR2
ERV18-1	endogenous retrovirus group 18 member 1		
ERVE-1	endogenous retrovirus group E member 1	ERVE1	HERV-E1, HERVE1, TCONS_00025599
ERVE-2	endogenous retrovirus group E member 2		
ERVE-3	endogenous retrovirus group E member 3		
ERVE-4	endogenous retrovirus group E member 4		
ERVE-5	endogenous retrovirus group E member 5		AC079466.1
ERVFC1-1	endogenous retrovirus group FC1 member 1, envelope		FLJ42291, envF(c)2, TCONS_l2_00027524
ERVFH21-1	endogenous retrovirus group FH21 member 1		HERV-F(XA34)
ERVFRD-1	endogenous retrovirus group FRD member 1, envelope		HERV-W/FRD, HERV-FRD, envFRD, ERVFRDE1, syncytin-2
ERVFRD-2	endogenous retrovirus group FRD member 2		FLJ45949
ERVFRD-3	endogenous retrovirus group FRD member 3		
ERVH-1	endogenous retrovirus group H member 1		HERV-H4p15.2
ERVH-2	endogenous retrovirus group H member 2		HERV-HX
ERVH-3	endogenous retrovirus group H member 3		HERV-H/F, RP11-301G19.1, TCONS_l2_00025412
ERVH-4	endogenous retrovirus group H member 4		HERV-HD1
ERVH-5	endogenous retrovirus group H member 5		
ERVH-6	endogenous retrovirus group H member 6		
ERVH-7	endogenous retrovirus group H member 7		TCONS_00022381
ERVH-8	endogenous retrovirus group H member 8, envelope		envH1
ERVH-9	endogenous retrovirus group H member 9, envelope		envH2
ERVH-10	endogenous retrovirus group H member 10, envelope		envH3, envH/p59
ERVH48-1	endogenous retrovirus group 48 member 1, envelope	C21orf105, NDUFV3-AS1	SUPYN, HERV-Fb1
ERVI-1	endogenous retrovirus group I member 1		
ERVK-1	endogenous retrovirus group K member 1		c1_A
ERVK-2	endogenous retrovirus group K member 2		c3_A
ERVK-3	endogenous retrovirus group K member 3		c3_B
ERVK-4	endogenous retrovirus group K member 4	ERVK4	HERV-K(I)
ERVK-5	endogenous retrovirus group K member 5	ERVK5	HERV-K(II)
ERVK-6	endogenous retrovirus group K member 6, envelope	ERVK6	HERV-K(HML-2.HOM), HERV-K108, HERV-K(C7), envK2
ERVK-7	endogenous retrovirus group K member 7	ERVK7	HERV-K(III), HERV-K102
ERVK-8	endogenous retrovirus group K member 8, envelope	ERVK8	HERV-K115, envK6
ERVK-9	endogenous retrovirus group K member 9		
ERVK-10	endogenous retrovirus group K member 10		
ERVK-11	endogenous retrovirus group K member 11		c3_E, N8.4
ERVK-12	endogenous retrovirus group K member 12		
ERVK-13	endogenous retrovirus group K member 13		c3_D
ERVK-14	endogenous retrovirus group K member 14		c7_B
ERVK-15	endogenous retrovirus group K member 15		c7_C, P1.10
ERVK-16	endogenous retrovirus group K member 16		c10_A., M3.8
ERVK-17	endogenous retrovirus group K member 17		c10_B
ERVK-18	endogenous retrovirus group K member 18		c1_C, HERV-K18
ERVK-19	endogenous retrovirus group K member 19, envelope		P1.8, HERV-K(C19), envK3
ERVK-20	endogenous retrovirus group K member 20		c11_B
ERVK-21	endogenous retrovirus group K member 21, envelope		c12_A, envK1
ERVK-22	endogenous retrovirus group K member 22		c19_A
ERVK-23	endogenous retrovirus group K member 23		c21_A
ERVK-24	endogenous retrovirus group K member 24		c22_A, HERV-K101
ERVK-25	endogenous retrovirus group K member 25		c11_A
ERVK-26	endogenous retrovirus group K member 26		
ERVK-27	endogenous retrovirus group K member 27		
ERVK-28	endogenous retrovirus group K member 28		
ERVK-29	endogenous retrovirus group K member 29		
ERVK-30	endogenous retrovirus group K member 30		
ERVK-31	endogenous retrovirus group K member 31		
ERVK-32	endogenous retrovirus group K member 32, envelope		envK4, HERV-K109
ERVK3-1	endogenous retrovirus group K3 member 1		HERV-K(HML6-1)
ERVK3-2	endogenous retrovirus group K3 member 2		HML6-c14
ERVK3-3	endogenous retrovirus group K3 member 3		HML6-c5
ERVK3-4	endogenous retrovirus group K3 member 4		HML6-c11
ERVK3-5	endogenous retrovirus group K3 member 5		HML6-c12
ERVK3-6	endogenous retrovirus group K3 member 6		HML6-c19A
ERVK3-7	endogenous retrovirus group K3 member 7		HML6-c19B
ERVK3-8	endogenous retrovirus group K3 member 8		
ERVK9-1	endogenous retrovirus group K9, member 1		
ERVK9-2	endogenous retrovirus group K9, member 2		
ERVK9-3	endogenous retrovirus group K9, member 3		
ERVK9-4	endogenous retrovirus group K9, member 4		
ERVK9-5	endogenous retrovirus group K9, member 5		
ERVK9-6	endogenous retrovirus group K9, member 6		
ERVK9-7	endogenous retrovirus group K9, member 7		
ERVK9-8	endogenous retrovirus group K9, member 8		
ERVK9-9	endogenous retrovirus group K9, member 9		TCONS_00025543
ERVK9-10	endogenous retrovirus group K9, member 10		
ERVK9-11	endogenous retrovirus group K9, member 11		
ERVK9-12	endogenous retrovirus group K9, member 12		
ERVK11-1	endogenous retrovirus group K11 member 1		
ERVK13-1	endogenous retrovirus group K13 member 1		
ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope		envMER34, HEMO
ERVMER61-1	endogenous retrovirus group MER61 member 1	C1orf99	TP53LC07
ERVPABLB-1	endogenous retrovirus group PABLB member 1, envelope		envR(b)
ERVS71-1	endogenous retrovirus group S71 member 1, envelope		envT
ERVS71-2	endogenous retrovirus group S71 member 2		HERV-HC2
ERVV-1	endogenous retrovirus group V member 1, envelope		FLJ32214, HERV-V1, ENVV1
ERVV-2	endogenous retrovirus group V member 2, envelope		ENVV2
ERVW-1	endogenous retrovirus group W member 1, envelope	ERVWE1	HERV-W, HERV-W-ENV, HERVW, HERV-7q, envW
ERVW-2	endogenous retrovirus group W member 2	ERVWE2	NTrenv
ERVW-3	endogenous retrovirus group W member 3		CL4
ERVW-4	endogenous retrovirus group W member 4		C187-23
ERVW-5	endogenous retrovirus group W member 5		CL2
ERVW-6	endogenous retrovirus group W member 6		
ERVW-7	endogenous retrovirus group W member 7		
ERVW-8	endogenous retrovirus group W member 8		
ERVW-9	endogenous retrovirus group W member 9		
ERVW-10	endogenous retrovirus group W member 10		
ERVW-11	endogenous retrovirus group W member 11		
ERVW-12	endogenous retrovirus group W member 12		
ERVW-13	endogenous retrovirus group W member 13		
ERVW-14	endogenous retrovirus group W member 14		
ERVW-15	endogenous retrovirus group W member 15		
ERVW-16	endogenous retrovirus group W member 16		
ERVW-17	endogenous retrovirus group W member 17		
ERVW-18	endogenous retrovirus group W member 18		
ERVW-19	endogenous retrovirus group W member 19		
ERVW-20	endogenous retrovirus group W member 20		
ERVW-21	endogenous retrovirus group W member 21		
ERVW-22	endogenous retrovirus group W member 22		
ERVW-23	endogenous retrovirus group W member 23		
ERVW-24	endogenous retrovirus group W member 24		
ERVW-25	endogenous retrovirus group W member 25		
ERVW-26	endogenous retrovirus group W member 26		
ERVW-27	endogenous retrovirus group W member 27		
ERVW-28	endogenous retrovirus group W member 28		
ERVW-29	endogenous retrovirus group W member 29		
ESA4	esterase A4		
ESAM	endothelial cell adhesion molecule		W117m
ESAM-AS1	ESAM antisense RNA 1		
ESAT	esterase activator		
ESB3	esterase B3		
ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1		ESO1, EFO1, KIAA1911
ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2	RBS	EFO2
ESD	esterase D		
ESDP1	ESD pseudogene 1		
ESF1	ESF1 nucleolar pre-rRNA processing protein	C20orf6	bA526K24.1
ESM1	endothelial cell specific molecule 1		
ESPL1	extra spindle pole bodies like 1, separase		KIAA0165, ESP1, SEPA
ESPN	espin	DFNB36	
ESPNL	espin like		FLJ42568
ESPNP	espin pseudogene		
ESR1	estrogen receptor 1	ESR	ER, NR3A1, Era, ER-alpha
ESR2	estrogen receptor 2		NR3A2, Erb, ER-beta
ESRG	embryonic stem cell related		HESRG
ESRP1	epithelial splicing regulatory protein 1	RBM35A	FLJ20171
ESRP2	epithelial splicing regulatory protein 2	RBM35B	FLJ21918
ESRRA	estrogen related receptor alpha	ESRL1	ERR1, ERRalpha, NR3B1, ERRa
ESRRAP1	estrogen-related receptor alpha pseudogene 1	ESRRAP	
ESRRAP2	estrogen-related receptor alpha pseudogene 2		ESTRRA
ESRRB	estrogen related receptor beta	ESRL2, DFNB35	ERR2, ERRbeta, NR3B2, ERRb
ESRRG	estrogen related receptor gamma		NR3B3, ERRg, ERR-gamma
ESS2	ess-2 spliceosome associated protein	DGCR13, DGCR14	DGSI, Es2el, ES2, DGS-H, ESS-2, bis1
ESX1	ESX homeobox 1	ESX1L	ESXR1
ESYT1	extended synaptotagmin 1	FAM62A	MBC2, KIAA0747
ESYT2	extended synaptotagmin 2	FAM62B	KIAA1228, CHR2SYT
ESYT3	extended synaptotagmin 3	FAM62C	CHR3SYT
ETAA1	ETAA1 activator of ATR kinase		ETAA16
ETDA	embryonic testis differentiation homolog A		
ETDB	embryonic testis differentiation homolog B	LINC00633	
ETDC	embryonic testis differentiation homolog C		
ETF1	eukaryotic translation termination factor 1	SUP45L1, ERF1, ERF	eRF1, TB3-1, RF1
ETF1P1	eukaryotic translation termination factor 1 pseudogene 1	SUP45L2	HCGVII
ETF1P2	eukaryotic translation termination factor 1 pseudogene 2	SUP45L3	
ETF1P3	eukaryotic translation termination factor 1 pseudogene 3	SUP45L4	
ETFA	electron transfer flavoprotein subunit alpha		GA2, EMA, MADD
ETFB	electron transfer flavoprotein subunit beta		
ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	C12orf72, METTL20	DKFZp451L235, MGC50559
ETFDH	electron transfer flavoprotein dehydrogenase		ETFQO
ETFRF1	electron transfer flavoprotein regulatory factor 1	LYRM5	
ETFRF1P1	ETFRF1 pseudogene 1		
ETHE1	ETHE1 persulfide dioxygenase		YF13H12, HSCO
ETNK1	ethanolamine kinase 1		EKI1, EKI
ETNK1-DT	ETNK1 divergent transcript		
ETNK2	ethanolamine kinase 2		FLJ10761, EKI2
ETNPPL	ethanolamine-phosphate phospho-lyase	AGXT2L1	
ETS1	ETS proto-oncogene 1, transcription factor	EWSR2	FLJ10768, ETS-1
ETS1-AS1	ETS1 antisense RNA 1		pancEts-1
ETS2	ETS proto-oncogene 2, transcription factor		
ETS2-AS1	ETS2 antisense RNA 1		
ETS2P1	ETS2 pseudogene 1		
ETV1	ETS variant transcription factor 1		ER81
ETV2	ETS variant transcription factor 2		ER71
ETV3	ETS variant transcription factor 3		PE-1
ETV3L	ETS variant transcription factor 3 like		FLJ16478
ETV4	ETS variant transcription factor 4		E1A-F, E1AF, PEA3
ETV5	ETS variant transcription factor 5		ERM
ETV5-AS1	ETV5 antisense RNA 1		
ETV6	ETS variant transcription factor 6		TEL
ETV7	ETS variant transcription factor 7		TEL2, TEL-2
ETV7-AS1	ETV7 and PTX1 antisense RNA 1		
EUDAL	EGFR ubiquitination and degradation associated lncRNA		
EVA1A	eva-1 homolog A, regulator of programmed cell death	TMEM166, FAM176A	FLJ13391
EVA1A-AS	EVA1A antisense RNA		EVA1A-AS1
EVA1B	eva-1 homolog B	C1orf78, FAM176B	FLJ10647
EVA1C	eva-1 homolog C	C21orf64, C21orf63, FAM176C	B18, PRED34, B19
EVA1CP1	EVA1C pseudogene 1		
EVA1CP2	EVA1C pseudogene 2		
EVA1CP3	EVA1C pseudogene 3		
EVA1CP4	EVA1C pseudogene 4		
EVA1CP5	EVA1C pseudogene 5		
EVA1CP6	EVA1C pseudogene 6		
EVC	EvC ciliary complex subunit 1		DWF-1, EVC1
EVC2	EvC ciliary complex subunit 2		LBN
EVI2A	ecotropic viral integration site 2A	EVI2	EVDA
EVI2B	ecotropic viral integration site 2B		D17S376, EVDB, CD361
EVI5	ecotropic viral integration site 5		NB4S
EVI5L	ecotropic viral integration site 5 like		
EVL	Enah/Vasp-like		RNB6
EVL-AS1	EVL antisense RNA 1		
EVPL	envoplakin		EVPK
EVPLL	envoplakin like		
EVX1	even-skipped homeobox 1		
EVX1-AS	EVX1 antisense RNA		EVX1-AS1, EVX1AS
EVX2	even-skipped homeobox 2		
EWSAT1	Ewing sarcoma associated transcript 1	TMEM84, NCRNA00277, LINC00277	FLJ33768
EWSR1	EWS RNA binding protein 1		EWS
EWSR1P1	EWSR1 pseudogene 1		
EWSR1P2	EWSR1 pseudogene 2		
EXD1	exonuclease 3'-5' domain containing 1	EXDL1	MGC33637
EXD2	exonuclease 3'-5' domain containing 2	C14orf114, EXDL2	FLJ10738
EXD3	exonuclease 3'-5' domain containing 3		LOC54932, FLJ20433, mut-7, Nbr
EXO1	exonuclease 1		HEX1, hExoI
EXO5	exonuclease 5	C1orf176, DEM1	FLJ21144
EXO5-DT	EXO5 divergent transcript		
EXOC1	exocyst complex component 1	SEC3L1	SEC3, FLJ10893, BM-102, Sec3p
EXOC1-AS1	EXOC1 antisense RNA 1		AC110611.2
EXOC1L	exocyst complex component 1 like		
EXOC1L-AS1	EXOC1L antisense RNA 1		
EXOC2	exocyst complex component 2	SEC5L1	FLJ11026, Sec5
EXOC3	exocyst complex component 3	SEC6L1	Sec6
EXOC3-AS1	EXOC3 antisense RNA 1	C5orf55	
EXOC3L1	exocyst complex component 3 like 1	EXOC3L	FLJ35539, FLJ35587
EXOC3L2	exocyst complex component 3 like 2		FLJ36147, XTP7
EXOC3L4	exocyst complex component 3 like 4	C14orf73	
EXOC4	exocyst complex component 4	SEC8L1	KIAA1699, MGC27170, SEC8, Sec8p
EXOC5	exocyst complex component 5	SEC10L1	SEC10, SEC10P
EXOC5P1	exocyst complex component 5 pseudogene 1		
EXOC6	exocyst complex component 6	SEC15L1	SEC15L, FLJ1125, DKFZp761I2124, MGC33397, Sec15, EXOC6A
EXOC6B	exocyst complex component 6B	SEC15L2, SEC15B	KIAA0919
EXOC7	exocyst complex component 7		EXO70, KIAA1067, YJL085W, Exo70p, BLOM4
EXOC7P1	EXOC7 pseudogene 1		
EXOC8	exocyst complex component 8		SEC84, EXO84, Exo84p
EXOG	exo/endonuclease G	ENDOGL1, ENDOGL2	ENGL-a, ENGL, ENGL-b
EXOGP1	EXOG pseudogene 1		
EXOSC1	exosome component 1		hCsl4p, Csl4p, CSL4, Ski4p, SKI4, CGI-108, p13
EXOSC2	exosome component 2		hRrp4p, Rrp4p, RRP4, p7
EXOSC3	exosome component 3		hRrp40p, Rrp40p, RRP40, CGI-102, p10, hRrp-40
EXOSC3P1	exosome component 3 pseudogene 1		
EXOSC3P2	exosome component 3 pseudogene 2		
EXOSC4	exosome component 4		hRrp41p, FLJ20591, Rrp41p, RRP41, RRP41A, Ski6p, SKI6, p12A
EXOSC5	exosome component 5		hRrp46p, Rrp46p, RRP46, RRP41B, MGC12901, p12B
EXOSC6	exosome component 6		MTR3, hMtr3p, Mtr3p, EAP4, p11
EXOSC7	exosome component 7		hRrp42p, Rrp42p, RRP42, EAP1, KIAA0116, p8
EXOSC8	exosome component 8		OIP2, RRP43, bA421P11.3, Rrp43p, EAP2, p9, CIP3
EXOSC8P1	EXOSC8 pseudogene 1		
EXOSC9	exosome component 9	PMSCL1	PM/Scl-75, Rrp45p, RRP45, p5, p6
EXOSC10	exosome component 10	PMSCL2	PM-Scl, PM/Scl-100, Rrp6p, RRP6, p2, p3, p4
EXOSC10-AS1	EXOSC10 antisense RNA 1		
EXPH5	exophilin 5		SLAC2-B
EXT1	exostosin glycosyltransferase 1	LGCR, LGS	ttv
EXT2	exostosin glycosyltransferase 2		SOTV
EXTL1	exostosin like glycosyltransferase 1		EXTL, MGC70794
EXTL2	exostosin like glycosyltransferase 2		
EXTL2P1	exostosin like glycosyltransferase 2 pseudogene 1	EXTL2P	
EXTL3	exostosin like glycosyltransferase 3		botv, REGR
EXTL3-AS1	EXTL3 antisense RNA 1	C8orf50	
EYA1	EYA transcriptional coactivator and phosphatase 1	BOR	
EYA2	EYA transcriptional coactivator and phosphatase 2		EAB1
EYA2-AS1	EYA2 antisense RNA 1		
EYA3	EYA transcriptional coactivator and phosphatase 3		DKFZp686C132
EYA4	EYA transcriptional coactivator and phosphatase 4	DFNA10, CMD1J	
EYA4-AS2	EYA4 antisense RNA 2		
EYS	EGF-like photoreceptor maintenance factor	C6orf180, EGFL11, RP25, EGFL10, C6orf178, C6orf179	dJ1018A4.2, bA166P24.2, SPAM, bA307F22.3, dJ303F19.1, bA74E24.1
EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit		KIAA0388, KMT6B
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit		EZH1, ENX-1, KMT6, KMT6A
EZH2P1	enhancer of zeste 2 polycomb repressive complex 2 subunit pseudogene 1		
EZHIP	EZH inhibitory protein	CXorf67	CATACOMB
EZR	ezrin	VIL2	
EZR-AS1	EZR antisense RNA 1		
EZRP1	EZR pseudogene 1		
F2	coagulation factor II, thrombin		
F2R	coagulation factor II thrombin receptor		TR, CF2R, PAR1, PAR-1
F2RL1	F2R like trypsin receptor 1	GPR11	PAR2
F2RL2	coagulation factor II thrombin receptor like 2		PAR3
F2RL3	F2R like thrombin or trypsin receptor 3		PAR4
F3	coagulation factor III, tissue factor		CD142, TF
F5	coagulation factor V		
F7	coagulation factor VII		
F8	coagulation factor VIII	F8C	FVIII, DXS1253E, HEMA
F8A1	coagulation factor VIII associated 1	F8A	DXS522E
F8A2	coagulation factor VIII associated 2		
F8A3	coagulation factor VIII associated 3		
F9	coagulation factor IX		FIX
F10	coagulation factor X		
F10-AS1	F10 antisense RNA 1		
F10-AS2	F10 antisense RNA 2		SCAR-6
F11	coagulation factor XI		FXI
F11-AS1	F11 antisense RNA 1		
F11R	F11 receptor	JAM1	PAM-1, JCAM, JAM-1, JAM-A, JAMA, CD321
F12	coagulation factor XII		
F13A1	coagulation factor XIII A chain	F13A	
F13B	coagulation factor XIII B chain		FXIIIB
FA2H	fatty acid 2-hydroxylase	FAXDC1, SPG35	FAAH, FLJ25287
FAAH	fatty acid amide hydrolase		FAAH-1, FAAH1
FAAH2	fatty acid amide hydrolase 2	AMDD	RP11-479E16.1, FLJ31204, FAAH-2
FAAHP1	fatty acid amide hydrolase pseudogene 1	LINC00505	FAAH-OUT
FAAP20	FA core complex associated protein 20	C1orf86	FLJ31031
FAAP24	FA core complex associated protein 24	C19orf40	FLJ46828, MGC32020
FAAP100	FA core complex associated protein 100	C17orf70	FLJ22175
FABP1	fatty acid binding protein 1		L-FABP
FABP2	fatty acid binding protein 2		I-FABP
FABP3	fatty acid binding protein 3	MDGI, FABP11	H-FABP, O-FABP
FABP3P2	fatty acid binding protein 3 pseudogene 2		FABP3-ps, FABP3P
FABP4	fatty acid binding protein 4		A-FABP, aP2
FABP5	fatty acid binding protein 5		E-FABP, PA-FABP, KFABP
FABP5P1	fatty acid binding protein 5 pseudogene 1	FABP5L1	FABP5
FABP5P2	fatty acid binding protein 5 pseudogene 2	FABP5L2	
FABP5P3	fatty acid binding protein 5 pseudogene 3	FABP5L3	TCAG_1781704
FABP5P4	fatty acid binding protein 5 pseudogene 4	FABP5L4	
FABP5P5	fatty acid binding protein 5 pseudogene 5	FABP5L5	
FABP5P6	fatty acid binding protein 5 pseudogene 6	FABP5L6	
FABP5P7	fatty acid binding protein 5 pseudogene 7	FABP5L7	
FABP5P8	fatty acid binding protein 5 pseudogene 8	FABP5L8	
FABP5P9	fatty acid binding protein 5 pseudogene 9	FABP5L9	
FABP5P10	fatty acid binding protein 5 pseudogene 10	FABP5L10	
FABP5P11	fatty acid binding protein 5 pseudogene 11	FABP5P1, FABP5L11	
FABP5P12	fatty acid binding protein 5 pseudogene 12	FABP5L12	
FABP5P13	fatty acid binding protein 5 pseudogene 13	FABP5L13	
FABP5P14	fatty acid binding protein 5 pseudogene 14	FABP5L14	
FABP5P15	fatty acid binding protein 5 pseudogene 15	FABP5L15	
